"Year","Population_mean","Population_sd","GNI_mean","GNI_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","GDI_mean","GDI_sd","Imports_mean","Imports_sd","Life_Expct_mean","Life_Expct_sd","Land_km2_mean","Land_km2_sd","Services_mean","Services_sd","Mortality_mean","Mortality_sd","PovertyHCR_mean","PovertyHCR_sd","PrimaryEd_mean","PrimaryEd_sd","Employ_mean","Employ_sd","GDPpc_mean","GDPpc_sd","HDI_mean","HDI_sd","HDI_idx_mean","HDI_idx_sd"
2014,24527395,NA,47933652024.9735,NA,48843005613.7091,NA,13752704950.0207,NA,9693162428.59625,NA,7444531507.00568,NA,NA,NA,12466424412.7778,NA,57.208,NA,318000,NA,18225837781.4867,NA,89.4,NA,NA,NA,53.1275405883789,NA,64.847,NA,4074.21445539789,NA,0.499,NA,1.09911894273128,NA
2015,25246342,NA,44807751702.5044,NA,45815005169.2651,NA,12531890057.4258,NA,9218692760.03399,NA,8412570348.02447,NA,NA,NA,11618511648.5973,NA,57.762,NA,318000,NA,24800859065.5458,NA,86.3,NA,33.4,NA,58.0733604431152,NA,65.213,NA,4403.64296618998,NA,0.501,NA,1.10352422907489,NA
2016,25989405,NA,47331529982.55,NA,48407761036.8238,NA,12073797174.534,NA,10078841389.3108,NA,8439877843.54693,NA,NA,NA,10951634334.4131,NA,58.06,NA,318000,NA,26379118935.6179,NA,83.8,NA,NA,NA,61.3673782348633,NA,65.562,NA,4530.64849808487,NA,0.506,NA,1.11453744493392,NA
2017,26733372,NA,50973205770.8793,NA,52512343996.69,NA,13390010535.4842,NA,10401940561.2696,NA,8896109448.48226,NA,NA,NA,12163812786.1254,NA,58.48,NA,318000,NA,29275650373.478,NA,81.5,NA,NA,NA,67.6764907836914,NA,63.958,NA,4690.17801861096,NA,0.515,NA,1.13436123348018,NA
2018,27464173,NA,56893409586.3836,NA,58522477786.6889,NA,13281208105.2104,NA,11184629788.3855,NA,10447784689.9872,NA,NA,NA,13661082703.3125,NA,58.849,NA,318000,NA,32549410910.0971,NA,78.9,NA,11.5,NA,70.0334701538086,NA,63.542,NA,4945.62520575915,NA,0.522,NA,1.14977973568282,NA
2019,28193009,NA,58700458323.6943,NA,60382894697.3557,NA,13683059068.9034,NA,13068090256.2246,NA,9472993128.39508,NA,NA,NA,13284189624.8842,NA,59.319,NA,318000,NA,33209068558.6755,NA,76.1,NA,NA,NA,73.4945068359375,NA,63.131,NA,5516.39055126829,NA,0.529,NA,1.16519823788546,NA
2020,28915449,NA,61181445318.3239,NA,63027852805.4204,NA,13231732415.0367,NA,13048154289.2969,NA,10672768181.7073,NA,NA,NA,13203807830.5952,NA,59.032,NA,318000,NA,35026350232.4036,NA,73.8,NA,NA,NA,75.5859832763672,NA,63.339,NA,5543.85096318939,NA,0.53,NA,1.16740088105727,NA
2021,29639736,NA,70557249154.8822,NA,72794636653.7793,NA,16230487159.2541,NA,16089824066.0898,NA,11778574737.998,NA,NA,NA,16610109080.0793,NA,58.598,NA,318000,NA,39381922379.6772,NA,71.5,NA,9.7,NA,73.7053680419922,NA,64.775,NA,6045.20480490879,NA,0.53,NA,1.16740088105727,NA
2022,30395002,NA,67874161725.9432,NA,70173140101.4315,NA,17211115086.1283,NA,16579469898.7776,NA,11076024855.6038,NA,0.861,NA,20283249155.7514,NA,58.916,NA,318000,NA,37705043977.0235,NA,69.4,NA,NA,NA,68.5947036743164,NA,65.468,NA,6707.9479515214,NA,0.534,NA,1.17621145374449,NA
2023,31165654,NA,75699486555.3384,NA,78875489245.0538,NA,19340237826.0703,NA,18841152299.4676,NA,11323265930.9173,NA,NA,NA,22127698957.9517,NA,NA,NA,NA,NA,43032035788.9591,NA,NA,NA,NA,NA,80.2278900146484,NA,65.234,NA,7197.690104362,NA,NA,NA,NA,NA
