"Year","Population_mean","Population_sd","GNI_mean","GNI_sd","GDP_mean","GDP_sd","Exports_mean","Exports_sd","Industry_mean","Industry_sd","Agriculture_mean","Agriculture_sd","GDI_mean","GDI_sd","Imports_mean","Imports_sd","Life_Expct_mean","Life_Expct_sd","Land_km2_mean","Land_km2_sd","Services_mean","Services_sd","Mortality_mean","Mortality_sd","PovertyHCR_mean","PovertyHCR_sd","PrimaryEd_mean","PrimaryEd_sd","Employ_mean","Employ_sd","GDPpc_mean","GDPpc_sd","HDI_mean","HDI_sd","HDI_idx_mean","HDI_idx_sd"
2012,18813208.9375,17700306.8305652,316499888170.19,526768954771.39,319514929202.154,529746648475.486,183916914008.842,219979247522.785,101039382961.082,111799728353.203,9688095090.50822,11757037487.0131,NA,NA,155428244658.512,208672316104.243,70.3797698170732,9.99448154566927,418683.4375,490749.080716404,203885533358.398,366969513414.848,37.84375,39.5675450969605,3.15714285714286,7.30658541838734,87.6068119472928,21.7140400227885,56.0895625,13.765528114188,28799.3126661914,25008.1503465706,0.704125,0.192788269006874,1.1429773877622,0.138244415681509
2013,19211748.5,17972023.1513787,326951076256.076,542174316992.036,329421281510.319,545310138485.882,174451887391.483,227679674474.68,94495911285.9987,112820495747.459,9651611861.34964,12246109566.129,NA,NA,149679629350.398,208942455928.515,70.7987881097561,9.84756421915109,418725.1225,490693.76126147,199626877727.485,368729343469.086,36.325,37.7653897989504,3.92857142857143,9.26259759925445,85.8902524312337,20.6924460898534,56.2475625,13.8769200183554,26870.0065917076,24353.8685878031,0.708,0.188638631603745,1.15328810822874,0.151649537534894
2014,19580636.5625,18216902.763964,329916761119.008,548033312077.435,331107666465.475,550997110900.546,174336836290.785,236355859069.713,90288484981.9242,111006879924.569,9751888931.78226,11755437900.0107,NA,NA,151439422334.776,213222530178.542,71.1095945121951,9.76379247523292,418724.1875,490693.870221916,204363277439.742,374195747384.373,34.95,36.1414812461618,11.15,26.1890626025446,86.091612815857,21.7309738984813,56.330375,13.8678174003698,26122.0294328365,23096.1496324087,0.7125,0.184915836711372,1.16398617316073,0.160907218674363
2015,19907350.75,18359585.7023684,275109014210.438,463645111229.295,276508664291.935,469206025101.628,142935295454.233,209160055226.848,69626365539.3178,93545964273.6086,8391859167.89969,10180001568.3391,NA,NA,132119269940.672,190891429917.749,71.3690289634146,9.46467235638611,418728.10625,490694.314507115,176097864384.764,317261095111.015,33.625,34.5946334951921,10.8,19.6861626529906,86.2863556998117,21.4968150068638,56.484375,13.9340960279692,23821.7822587845,20106.0326971706,0.7186875,0.182129887259981,1.17751870928845,0.175927648235945
2016,20232948.25,18497118.2534941,276396830937.733,478376255612.295,277607767207.886,481299243520.709,139455685014.772,211648231623.703,67658542982.3241,97010160381.4953,8215750485.68469,9995418951.674,NA,NA,128078426716.253,188289596116.468,71.5974176829268,9.42037277350217,418706.545625,490685.095415699,178163796548.668,324066527400.495,32.5,33.2851919027065,0.5,0.644204936336256,92.5646602085658,13.9503874023044,56.4965,13.9104806962233,23940.302955385,20218.2180566918,0.723,0.180929820648781,1.18619965661841,0.181560034807133
2017,20556438.3125,18645699.5687258,295930812310.675,501597492984.404,296173535861.377,502531848669.254,156821815643.534,233451576804.225,75093831944.8745,101826553634.163,8774511404.25416,10621375298.9596,NA,NA,142602844592.998,211553255967.846,71.9814649390244,9.19106921367362,418658.25,490721.044758765,187627962693.3,338432205088.601,31.45,32.1346334453447,3.34285714285714,6.98542700743415,88.2623233795166,19.3358291152095,56.37425,14.0422200452777,25394.5483102343,21603.6198169263,0.72825,0.179166403100581,1.19636342686364,0.185203372713291
2018,20877765.5,18802439.0327716,323538909657.777,539233351619.575,322912959937.965,536721059851.961,176926475317.489,256047681187.807,85423674633.2453,110050896966.147,8973120782.37678,10809544071.8871,NA,NA,158585815940.885,235470945866.85,72.291381097561,9.05805795593764,418664.1875,490711.124600509,202053491930.692,361717894905.638,30.4625,31.0225052717109,8.13333333333333,12.8114206862471,89.3244010077583,16.135735175766,56.6205,14.1289113333854,27253.7665921927,23077.678188277,0.7330625,0.176953277731722,1.20651684000813,0.192275929790612
2019,21156287.3125,18891806.1230971,314700965387.062,517878619566.992,315923661319.334,518706632094.113,170956756595.74,250093639366.641,82525448366.953,105895718949.693,8739900758.33271,10414405415.3094,NA,NA,153655678099.76,226922390945.834,72.5140472560976,8.96342363173475,418663.3125,490711.190444334,198912189524.518,349421662890.366,29.45,29.8911358098015,12.75,30.2532477595381,88.261875629425,15.0775475045809,56.5411875,14.1109397004298,28170.2198617836,23988.0908500888,0.7369375,0.174697250026057,1.21518568212325,0.199499344706149
2020,21440248.5625,19057278.6658468,294349918933.924,495849914563.692,296044450804.106,496812780720.842,150590585366.454,235209649343.727,70578316779.1153,100734132982.927,9104555352.16125,10662940542.3296,NA,NA,138142795861.06,208669421134.638,71.7659161585366,8.58443323994995,418610.875,490716.165805431,192337274197.189,336069615880.286,28.5625,28.9079429684415,0.3,0.355902608401044,88.840982913971,13.7166264129897,55.1516875,13.823766552421,26479.1685356025,23192.609183114,0.7325625,0.171655845128171,1.21023783003076,0.20667415966354
2021,21725527,19226147.2313841,341143009031.778,568244086269.061,341297844898.732,567986324349.925,195295544164.756,285590181979.295,92313963935.0578,124711784939.583,9791550999.1441,12180307617.1502,NA,NA,172601137111.184,263327164101.467,71.4626661585366,8.88979075466719,418609.9375,490716.276527074,210558965353.204,376334071315.265,27.70625,27.9818386041137,5.35714285714286,10.0124684174046,88.3711957931518,14.6631095632638,55.21525,14.0493022009399,30327.348544503,27604.9906105568,0.73275,0.174167926630211,1.20817174790898,0.196871365458888
2022,22073777.625,19396567.1566725,350152835612.504,542094609200.693,354750520679.465,549369544615.923,227677979040.968,310653389491.646,110124369979.307,132998154854.287,10162150594.9303,12237973984.8564,0.933625,0.0675858713045855,201275412687.348,303188313491.702,72.0585045731707,8.88787685163008,418608.875,490717.247720773,208298239732.093,362966181488.67,26.86875,27.1057366314464,NA,NA,85.4262513054742,14.2853794079436,56.3853125,14.3318662833038,35111.5499494945,34528.8091261995,0.7379375,0.175416634996038,1.21663146364244,0.197963001477772
2023,22443649.3125,19580816.8339884,364182366650.008,589703927181.779,366220579783.945,600874286505.069,248928204351.36,347673470571.815,102161236727.735,133610836321.616,10442121827.5566,12057017997.3961,NA,NA,227512841732.615,320116527186.194,NA,NA,NA,NA,225735852374.036,400454320818.871,NA,NA,NA,NA,84.3453773498535,16.4683241530942,56.4294375,14.2326129621081,33967.7783960661,31004.6792065018,NA,NA,NA,NA
