19,Korea (Republic of),0.948,,3,,0.900,,0.950,,87.1,,80.7,,16.1,,16.8,,12.0,d,13.3,d,"31,063",,"61,037",
20,Luxembourg,0.993,,1,,0.920,,0.927,,84.8,,80.4,,14.3,,14.1,,12.9,k,13.0,k,"66,697",,"90,256",e
20,United States,1.005,,1,,0.928,,0.923,,81.0,,75.5,,17.3,,15.6,,13.7,,13.5,,"53,469",,"77,898",e
22,Austria,0.972,,2,,0.912,,0.938,,84.6,,80.2,,16.8,,15.9,,12.0,d,12.6,d,"41,899",,"71,616",
22,Slovenia,0.999,,1,,0.924,,0.925,,84.6,,79.6,,18.3,f,16.6,,12.9,d,12.8,d,"35,264",,"47,843",
24,Japan,0.968,,2,,0.904,,0.933,,87.8,l,81.8,,15.4,,15.5,,12.4,,13.0,,"33,478",,"54,395",
25,Israel,0.991,,1,,0.910,,0.918,,84.5,,80.6,,15.6,,14.5,,13.5,d,13.4,d,"37,415",,"49,792",
25,Malta,0.980,,1,,0.903,,0.922,,85.7,,81.6,,16.6,,15.2,,12.0,,12.4,,"33,971",,"54,099",
27,Spain,0.988,,1,,0.902,,0.913,,86.5,,81.2,,18.4,f,17.2,,10.5,,10.7,,"32,835",,"47,543",
28,France,0.986,,1,,0.903,,0.916,,86.0,,80.4,,16.4,,15.6,,11.5,d,11.9,d,"38,135",,"57,263",
29,Cyprus,0.977,,1,,0.895,,0.916,,83.7,,80.1,,16.6,,15.8,,12.4,,12.5,,"31,777",,"48,470",
30,Italy,0.969,,2,,0.890,,0.918,,86.0,,82.0,,17.1,,16.2,,10.6,,10.9,,"31,413",,"57,808",
31,Estonia,1.022,,1,,0.908,,0.888,,83.0,,75.0,,16.8,,15.1,,13.8,,13.3,,"31,199",,"43,737",
32,Czechia,0.988,,1,,0.888,,0.899,,81.2,,75.1,,16.9,,15.8,,12.8,d,13.1,d,"30,761",,"49,404",
33,Greece,0.969,,2,,0.878,,0.907,,83.3,,78.0,,20.2,f,19.9,g,11.1,,11.7,,"24,821",,"38,227",
34,Bahrain,0.937,,3,,0.847,,0.904,,80.5,,78.2,,17.0,,15.7,,10.8,,11.2,,"22,722",,"64,700",
35,Andorra,..,,..,,..,,..,,85.8,,81.4,,12.8,,12.8,,11.5,,11.7,,..,,..,
36,Poland,1.009,,1,,0.884,,0.876,,80.8,,73.2,,16.7,,15.2,,13.3,,13.0,,"27,366",,"43,446",
37,Latvia,1.022,,1,,0.887,,0.868,,80.1,,71.5,,17.3,,15.9,,13.6,d,13.0,d,"26,345",,"38,716",
37,Lithuania,1.028,,2,,0.891,,0.867,,79.1,,69.5,,17.1,,15.8,,13.6,,13.4,,"33,012",,"43,912",
39,Croatia,0.993,,1,,0.875,,0.881,,82.0,,76.4,,16.5,,14.7,,12.1,d,12.6,d,"27,573",,"41,433",
40,Qatar,1.027,,2,,0.893,,0.869,,83.1,,80.6,,15.3,,12.6,,11.8,d,9.7,d,"47,964",,"114,135",e
40,Saudi Arabia,0.928,,3,,0.832,,0.897,,79.5,,76.7,,15.5,m,14.8,n,10.7,,11.7,,"24,647",,"69,723",
42,Portugal,0.998,,1,,0.873,,0.874,,84.9,,79.3,,17.1,,16.6,,9.6,,9.5,,"31,845",,"39,199",
43,San Marino,0.966,,2,,0.853,,0.883,,84.7,,82.0,,12.0,,12.9,,10.7,o,10.5,o,"50,410",,"65,363",
44,Chile,0.973,,2,,0.847,,0.870,,81.9,,77.2,,17.1,,16.5,,11.0,d,11.2,d,"18,612",,"30,337",
45,Slovakia,1.002,,1,,0.856,,0.854,,78.8,,71.9,,15.3,,14.2,,13.0,d,13.0,d,"26,634",,"37,967",
45,Türkiye,0.941,,3,,0.825,,0.876,,81.5,,75.4,,19.6,f,19.8,g,8.1,d,9.6,d,"20,538",,"45,077",
47,Hungary,0.989,,1,,0.846,,0.855,,78.3,,71.6,,15.4,,14.7,,12.1,,12.4,,"27,203",,"41,768",
48,Argentina,0.995,,1,,0.841,,0.845,,79.3,,72.9,,20.9,f,17.1,,11.4,,10.9,,"16,933",,"27,265",
49,Kuwait,1.014,,1,,0.848,,0.836,,82.8,,78.9,,17.8,d,13.8,d,8.3,d,7.0,d,"28,018",,"75,232",e
50,Montenegro,0.978,,1,,0.833,,0.852,,80.3,,73.5,,15.6,,14.6,,12.1,d,13.2,d,"17,543",,"27,750",
51,Saint Kitts and Nevis,..,,..,,..,,..,,75.7,,68.7,,19.7,"f,p",17.0,p,11.1,m,10.6,q,..,,..,
52,Uruguay,1.020,,1,,0.832,,0.816,,81.7,,74.1,,18.8,f,15.9,,9.3,d,8.7,d,"17,426",,"27,294",
53,Romania,0.981,,1,,0.818,,0.834,,77.6,,70.7,,15.0,,14.0,,11.1,d,11.7,d,"22,595",,"41,297",
54,Antigua and Barbuda,..,,..,,..,,..,,81.6,,76.5,,16.7,d,14.4,d,10.3,n,10.6,n,..,,..,
55,Brunei Darussalam,0.983,,1,,0.814,,0.829,,76.8,,72.5,,14.2,,13.3,,9.2,,9.2,,"44,703",,"72,823",
56,Russian Federation,1.021,,1,,0.829,,0.812,,75.7,,64.7,,15.8,d,15.5,d,12.5,,12.3,,"21,781",,"33,001",
57,Bahamas,1.007,,1,,0.822,,0.817,,77.8,,70.8,,12.2,m,11.6,m,12.8,d,12.7,d,"28,375",,"37,085",
57,Panama,1.017,,1,,0.826,,0.813,,80.1,,73.7,,13.9,d,12.6,d,10.9,d,10.4,d,"27,611",,"36,447",
59,Oman,0.937,,3,,0.780,,0.833,,76.0,,72.4,,13.5,,12.6,,12.3,,11.7,,"13,055",,"45,769",
60,Georgia,1.005,,1,,0.815,,0.811,,76.5,,66.8,,17.0,,16.5,,12.8,,12.6,,"12,237",,"20,141",
60,Trinidad and Tobago,0.992,,1,,0.809,,0.815,,78.2,,71.3,,14.4,r,13.8,r,11.9,d,11.6,d,"17,088",,"28,007",
62,Barbados,1.030,,2,,0.815,,0.792,,79.6,,75.7,,18.3,"d,f",14.8,d,10.4,s,9.1,s,"12,595",,"17,214",
63,Malaysia,0.973,,2,,0.794,,0.816,,78.8,,74.0,,13.4,,12.5,,10.7,d,10.8,d,"19,262",,"34,983",
64,Costa Rica,0.995,,1,,0.803,,0.807,,80.0,,74.8,,16.7,d,15.6,d,8.9,,8.7,,"16,531",,"23,965",
65,Serbia,0.986,,1,,0.799,,0.810,,77.0,,71.3,,15.2,,13.8,,11.2,d,11.9,d,"15,909",,"23,388",
66,Thailand,1.011,,1,,0.807,,0.798,,83.9,,75.5,,15.9,,15.3,,8.7,d,9.0,d,"15,289",,"18,580",
67,Kazakhstan,0.998,,1,,0.799,,0.801,,73.0,,65.8,,15.0,,14.6,,12.5,d,12.4,d,"18,595",,"26,890",
67,Seychelles,1.064,,3,,0.829,,0.779,,76.0,,68.2,,15.4,,12.6,,12.0,m,10.4,,"24,756",,"31,651",
69,Belarus,1.003,,1,,0.801,,0.799,,78.4,,68.1,,13.9,,14.0,,12.3,d,12.2,d,"14,502",,"23,022",
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
70,Bulgaria,0.995,,1,,0.797,,0.800,,75.1,,68.3,,14.1,,13.6,,11.5,,11.3,,"20,700",,"31,466",
71,Palau,1.007,,1,,0.802,,0.797,,69.3,,62.2,,18.3,"f,o",16.9,o,13.3,o,12.8,m,"15,159",,"23,218",
72,Mauritius,0.976,,1,,0.784,,0.803,,77.1,,71.0,,15.2,,14.1,,9.9,s,10.1,s,"15,594",,"31,124",
73,Grenada,0.976,,1,,0.781,,0.801,,78.3,,72.6,,17.1,d,16.1,d,9.8,m,9.9,n,"9,775",,"17,412",
74,Albania,0.977,,1,,0.780,,0.798,,79.5,,74.5,,14.7,,14.3,,9.8,s,10.4,s,"13,199",,"17,398",
75,China,0.962,,2,,0.771,,0.802,,81.3,,76.0,,15.7,d,14.8,d,7.5,m,8.7,t,"13,292",,"22,567",
76,Armenia,1.026,,2,,0.795,,0.775,,78.4,,67.9,,14.8,,14.0,,11.3,,11.3,,"13,443",,"17,770",
77,Mexico,0.979,,1,,0.770,,0.787,,78.2,,71.5,,15.0,,14.1,,9.1,,9.4,,"13,548",,"25,008",
78,Iran (Islamic Republic of),0.880,,5,,0.710,,0.806,,77.5,,71.9,,14.2,,14.1,,10.7,d,10.8,d,"4,140",,"25,192",
78,Sri Lanka,0.947,,3,,0.751,,0.793,,80.2,,72.9,,14.1,d,13.2,d,11.1,,11.4,,"6,241",,"17,990",
80,Bosnia and Herzegovina,0.952,,2,,0.759,,0.797,,77.5,,73.1,,13.8,,12.8,,9.8,,11.4,,"12,420",,"20,853",
81,Saint Vincent and the Grenadines,..,,..,,..,,..,,71.7,,66.7,,16.4,d,16.1,d,11.0,o,11.0,o,..,,..,
82,Dominican Republic,1.029,,2,,0.775,,0.753,,77.5,,71.0,,14.8,,12.3,,9.6,d,8.7,d,"14,773",,"22,506",
83,Ecuador,0.990,,1,,0.760,,0.768,,80.5,,75.3,,15.3,,14.4,,8.9,,9.0,,"9,147",,"12,245",
83,North Macedonia,0.950,,2,,0.744,,0.783,,76.2,,71.7,,13.4,,12.6,,9.7,,10.8,,"11,526",,"21,296",
85,Cuba,0.973,,2,,0.750,,0.771,,80.6,,75.8,,15.3,,13.7,,10.6,d,10.4,d,"5,571",,"10,373",
86,Moldova (Republic of),1.033,,2,,0.776,,0.751,,73.3,,64.2,,15.4,,14.4,,11.9,d,11.8,d,"12,272",,"13,725",
87,Maldives,0.976,,1,,0.748,,0.767,,81.8,,80.1,,13.3,d,11.2,d,7.9,d,7.7,d,"12,161",,"23,783",
87,Peru,0.952,,2,,0.742,,0.779,,75.5,,71.3,,14.9,d,14.7,d,9.4,d,10.6,d,"9,515",,"14,365",
89,Azerbaijan,0.961,,2,,0.743,,0.773,,76.2,,70.6,,12.7,,12.7,,10.2,d,10.9,d,"11,526",,"18,603",
89,Brazil,1.000,,1,,0.758,,0.758,,76.6,,70.3,,16.2,,15.0,,8.5,d,8.0,d,"11,292",,"18,061",
91,Colombia,0.998,,1,,0.756,,0.758,,77.1,,70.3,,14.7,,14.2,,9.0,,8.7,,"12,252",,"17,854",
92,Libya,0.988,,1,,0.739,,0.748,,74.8,,69.7,,14.8,n,13.5,n,8.4,m,7.2,m,"12,073",,"27,248",
93,Algeria,0.881,,5,,0.682,,0.774,,78.5,,75.9,,16.3,,14.7,,6.5,d,7.5,d,"3,842",,"17,859",
94,Turkmenistan,..,,..,,..,,..,,72.9,,65.9,,13.2,,13.2,,10.8,d,11.5,d,..,,..,
95,Guyana,0.992,,1,,0.738,,0.743,,69.4,,62.8,,13.3,r,12.7,r,8.7,s,8.5,s,"26,505",,"45,454",
96,Mongolia,1.032,,2,,0.751,,0.728,,77.4,,68.1,,15.3,d,13.8,d,9.9,,8.8,,"8,099",,"12,640",
97,Dominica,..,,..,,..,,..,,76.5,,69.9,,14.4,m,12.7,m,9.0,n,9.7,n,..,,..,
98,Tonga,0.996,,1,,0.736,,0.739,,74.1,,68.6,,17.4,,15.2,,11.0,s,10.8,s,"5,051",,"7,698",
99,Jordan,0.863,,5,,0.662,,0.767,,76.7,,72.1,,12.9,d,12.4,d,10.1,,10.8,,"2,753",,"15,380",
100,Ukraine,1.021,,1,,0.741,,0.726,,73.9,,63.5,,13.5,,13.1,,11.4,s,10.7,s,"9,025",,"14,233",
101,Tunisia,0.928,,3,,0.698,,0.751,,77.4,,71.4,,15.5,d,13.8,d,7.3,d,8.7,d,"5,198",,"15,528",
102,Marshall Islands,0.945,,3,,0.708,,0.748,,67.1,,63.5,,17.0,,15.8,,12.7,o,12.9,m,"4,518",,"9,096",
102,Paraguay,0.994,,1,,0.728,,0.732,,73.6,,67.6,,14.6,u,13.3,u,8.9,,8.9,,"10,349",,"15,954",
104,Fiji,0.940,,3,,0.700,,0.745,,70.2,,66.5,,14.4,,13.3,,10.4,,10.3,,"6,282",,"16,158",
105,Egypt,0.884,,5,,0.664,,0.752,,72.6,,67.9,,12.8,,13.0,,10.2,d,9.6,d,"3,739",,"20,790",
106,Uzbekistan,0.924,,4,,0.691,,0.748,,74.3,,69.0,,12.0,,12.0,,11.7,,12.1,,"4,390",,"11,716",
107,Viet Nam,1.007,,1,,0.729,,0.723,,79.3,,69.9,,13.3,v,12.8,v,8.1,d,8.8,d,"9,615",,"12,042",
108,Saint Lucia,1.013,,1,,0.729,,0.719,,74.9,,68.0,,13.4,,12.1,,8.8,d,8.3,d,"11,815",,"17,807",
109,Lebanon,0.928,,3,,0.690,,0.743,,76.6,,72.2,,12.8,w,11.3,w,8.0,m,9.2,o,"6,546",,"18,439",
110,South Africa,0.985,,1,,0.710,,0.721,,64.2,,58.6,,14.8,,13.7,,11.5,,11.7,,"10,423",,"16,095",
111,"Palestine, State of",0.880,,5,,0.649,,0.737,,75.9,,71.0,,14.0,,12.4,,9.9,,10.0,,"2,134",,"11,759",
112,Indonesia,0.940,,3,,0.688,,0.732,,70.4,,66.2,,14.1,d,13.9,d,8.2,,8.9,,"8,111",,"15,926",
113,Philippines,0.966,,2,,0.694,,0.718,,74.2,,70.2,,13.2,,12.4,,9.2,d,8.7,d,"6,179",,"11,851",
114,Botswana,0.998,,1,,0.707,,0.708,,68.4,,63.3,,11.8,,11.1,,10.4,,10.5,,"13,676",,"16,037",
115,Jamaica,1.016,,1,,0.710,,0.699,,72.7,,68.5,,13.6,d,11.4,d,9.9,d,8.6,d,"7,647",,"11,775",
116,Samoa,0.968,,2,,0.687,,0.709,,75.3,,70.1,,13.0,,11.9,,11.8,d,11.0,d,"3,314",,"6,562",
117,Kyrgyzstan,0.975,,1,,0.690,,0.707,,74.9,,66.2,,13.2,,12.8,,11.9,d,12.0,d,"3,442",,"6,170",
118,Belize,0.982,,1,,0.691,,0.704,,74.7,,67.7,,12.8,,12.1,,9.0,,8.7,,"6,319",,"12,133",
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
119,Venezuela (Bolivarian Republic of),1.002,,1,,0.695,,0.693,,75.7,,66.9,,14.3,o,12.4,o,9.8,o,9.5,m,"4,285",,"8,126",
120,Bolivia (Plurinational State of),0.965,,2,,0.686,,0.711,,67.9,,62.3,,15.1,,14.9,,9.2,,10.5,,"6,727",,"9,243",
120,Morocco,0.851,,5,,0.628,,0.737,,77.2,,72.9,,14.5,,14.7,,5.1,,7.0,,"2,968",,"12,876",
122,Nauru,1.037,,2,,0.708,,0.683,,67.8,,60.5,,14.4,d,11.0,d,9.3,m,9.2,n,"11,558",,"18,213",
123,Gabon,0.982,,1,,0.683,,0.696,,68.4,,63.4,,12.6,n,12.3,m,10.4,,8.7,,"7,296",,"14,958",
124,Suriname,0.987,,1,,0.683,,0.692,,73.6,,67.2,,11.3,,10.6,,8.6,d,8.2,d,"8,820",,"15,832",
125,Bhutan,0.970,,2,,0.670,,0.690,,74.2,,70.6,,13.6,d,12.6,d,5.2,d,6.3,d,"9,343",,"11,766",
126,Tajikistan,0.919,,4,,0.647,,0.704,,73.5,,69.2,,10.4,d,11.3,d,10.9,s,11.6,s,"3,295",,"6,300",
127,El Salvador,0.972,,2,,0.662,,0.681,,75.8,,66.8,,12.2,u,11.6,u,6.8,,7.6,,"6,244",,"11,794",
128,Iraq,0.786,,5,,0.569,,0.724,,73.4,,69.2,,11.6,v,12.8,v,5.6,s,8.0,s,"2,087",,"16,070",
129,Bangladesh,0.914,,4,,0.635,,0.694,,76.0,,71.5,,12.4,,11.5,,6.8,,8.0,,"3,684",,"9,387",
130,Nicaragua,0.949,,3,,0.647,,0.682,,77.6,,71.6,,12.3,u,12.8,u,7.5,,7.0,,"3,596",,"7,311",
131,Cabo Verde,0.981,,1,,0.652,,0.664,,79.0,,70.3,,11.8,d,11.3,d,5.8,o,6.3,o,"5,732",,"9,491",
132,Tuvalu,0.975,,1,,0.643,,0.659,,69.4,,61.1,,12.4,d,11.8,d,10.5,d,10.8,d,"3,378",,"6,063",
133,Equatorial Guinea,..,,..,,..,,..,,63.3,,59.4,,12.0,n,12.3,n,8.2,n,8.4,m,..,,..,
134,India,0.852,,5,,0.582,,0.684,,69.4,,66.3,,12.6,,12.6,,5.5,,7.6,,"2,958",,"10,696",
135,Micronesia (Federated States of),0.950,,2,,0.615,,0.647,,74.8,,67.3,,12.7,n,12.5,m,6.9,n,7.8,n,"2,652",,"4,756",
136,Guatemala,0.931,,3,,0.604,,0.649,,71.8,,65.7,,10.6,d,10.9,d,5.2,d,6.3,d,"6,114",,"11,938",
137,Kiribati,0.849,,5,,0.555,,0.654,,69.4,,65.7,,12.4,,11.3,,9.3,m,9.0,o,"1,100",,"5,903",
138,Honduras,0.974,,2,,0.616,,0.632,,73.2,,68.5,,10.3,u,9.6,u,6.9,d,7.8,d,"4,695",,"5,837",
139,Lao People's Democratic Republic,0.919,,4,,0.593,,0.645,,71.2,,66.9,,10.0,,10.4,,5.0,s,6.9,s,"6,380",,"9,088",
140,Vanuatu,0.936,,3,,0.591,,0.631,,73.1,,68.3,,11.9,d,11.7,d,6.6,n,7.5,n,"2,445",,"4,033",
141,Sao Tome and Principe,..,,..,,..,,..,,71.9,,66.1,,12.9,r,12.5,r,5.3,d,6.7,d,..,,..,
142,Eswatini (Kingdom of),0.987,,1,,0.606,,0.614,,60.6,,52.6,,14.4,d,15.5,d,5.8,,5.7,,"6,958",,"9,848",
142,Namibia,1.006,,1,,0.612,,0.608,,61.7,,54.6,,11.7,x,11.8,x,7.5,s,7.0,s,"7,827",,"10,673",
144,Myanmar,0.941,,3,,0.583,,0.619,,70.5,,64.2,,12.3,d,11.3,d,6.2,s,6.9,s,"2,545",,"5,544",
145,Ghana,0.933,,3,,0.583,,0.625,,66.1,,61.8,,11.5,,11.7,,5.6,s,7.6,s,"4,794",,"5,970",
146,Kenya,0.948,,3,,0.585,,0.617,,64.7,,59.6,,11.4,x,11.4,x,7.1,,8.3,,"3,977",,"5,654",
146,Nepal,0.885,,5,,0.562,,0.635,,72.4,,68.6,,12.8,,12.5,,3.4,d,5.7,d,"2,609",,"5,564",
148,Cambodia,0.926,,3,,0.577,,0.623,,72.6,,67.1,,11.3,o,11.8,m,4.4,,6.2,,"3,563",,"5,034",
149,Congo,0.909,,4,,0.564,,0.620,,64.6,,61.5,,13.0,d,11.9,d,7.2,s,9.4,s,"2,085",,"3,722",
150,Angola,0.905,,4,,0.561,,0.620,,64.5,,59.4,,11.5,,12.9,,4.5,x,7.2,x,"4,696",,"5,974",
151,Cameroon,0.900,,4,,0.556,,0.618,,62.6,,59.4,,12.7,d,14.1,d,5.6,s,7.6,s,"3,048",,"4,318",
152,Comoros,0.914,,4,,0.558,,0.611,,66.1,,61.5,,13.4,d,12.7,d,5.2,y,7.3,y,"2,338",,"4,174",
153,Zambia,0.930,,3,,0.548,,0.589,,64.5,,59.1,,11.1,y,11.0,y,6.4,s,8.3,s,"2,531",,"3,800",
154,Papua New Guinea,0.927,,3,,0.546,,0.589,,69.2,,63.4,,10.5,x,11.7,x,4.2,s,5.7,s,"3,219",,"4,171",
155,Timor-Leste,0.904,,4,,0.534,,0.591,,70.8,,67.4,,13.4,x,13.1,x,5.5,x,6.6,x,"1,145",,"2,094",
156,Solomon Islands,0.959,,2,,0.554,,0.578,,72.4,,69.3,,11.1,d,9.7,d,5.5,n,6.8,n,"1,998",,"2,537",
157,Syrian Arab Republic,0.805,,5,,0.481,,0.597,,76.1,,68.7,,7.2,o,7.7,m,5.4,o,6.7,o,"1,049",,"6,132",
158,Haiti,0.929,,3,,0.531,,0.571,,66.7,,60.9,,11.1,m,11.2,n,5.1,s,6.3,s,"2,110",,"3,506",
159,Uganda,0.899,,5,,0.522,,0.580,,65.7,,61.5,,11.1,x,11.9,x,5.2,d,7.7,d,"1,890",,"2,597",
159,Zimbabwe,0.936,,3,,0.532,,0.568,,62.1,,56.4,,10.7,d,11.4,d,8.2,d,9.6,d,"1,762",,"2,433",
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
161,Nigeria,0.886,,5,,0.515,,0.581,,54.0,,53.3,,10.2,,10.8,,6.6,,8.7,,"4,110",,"5,386",
161,Rwanda,0.921,,4,,0.524,,0.569,,69.2,,64.8,,11.5,,11.3,,4.5,,5.4,,"1,662",,"3,000",
163,Togo,0.848,,5,,0.505,,0.596,,62.2,,60.9,,12.5,d,14.3,d,4.2,d,7.2,d,"1,744",,"2,679",
164,Mauritania,0.874,,5,,0.503,,0.575,,66.4,,63.0,,8.2,,8.0,,4.1,s,5.8,s,"3,053",,"7,727",
164,Pakistan,0.834,,5,,0.480,,0.575,,68.9,,64.1,,7.3,d,8.4,d,3.9,d,4.8,d,"2,120",,"8,571",
166,Côte d'Ivoire,0.861,,5,,0.492,,0.572,,60.3,,57.7,,9.5,,10.7,,3.1,s,5.4,s,"4,063",,"6,665",
167,Tanzania (United Republic of),0.940,,3,,0.516,,0.549,,68.9,,64.7,,8.7,,8.5,,5.1,d,6.3,d,"2,195",,"2,970",
168,Lesotho,0.999,,1,,0.519,,0.520,,55.9,,50.3,,11.4,d,10.8,d,8.2,d,6.8,d,"2,129",,"3,304",
169,Senegal,0.925,,3,,0.496,,0.536,,70.2,,65.5,,9.9,,8.4,,2.3,d,3.7,d,"2,256",,"4,712",
170,Sudan,0.868,,5,,0.472,,0.544,,68.2,,63.0,,8.3,d,8.7,d,3.5,,4.2,,"1,750",,"5,282",
171,Djibouti,0.844,,5,,0.466,,0.552,,65.5,,60.3,,8.2,d,8.0,d,2.9,o,5.1,o,"2,307",,"7,481",
172,Malawi,0.926,,3,,0.489,,0.528,,66.3,,59.6,,11.5,d,11.5,d,4.3,,6.4,,"1,191",,"1,687",
173,Benin,0.848,,5,,0.462,,0.544,,61.7,,58.3,,9.5,,11.1,,2.1,s,4.4,s,"2,604",,"4,205",
174,Gambia,0.940,,3,,0.481,,0.511,,64.3,,61.5,,9.9,x,8.1,x,3.7,,5.6,,"1,792",,"2,390",
175,Eritrea,..,,..,,..,,..,,68.7,,64.5,,6.9,d,7.8,d,4.0,n,5.7,n,..,,..,
176,Ethiopia,0.922,,4,,0.472,,0.512,,68.9,,62.6,,10.2,d,9.8,d,1.7,d,3.2,d,"1,762",,"2,970",
177,Liberia,0.860,,5,,0.451,,0.524,,62.4,,59.8,,10.1,,10.8,,3.6,s,7.2,s,"1,163",,"1,499",
177,Madagascar,0.945,,3,,0.473,,0.500,,67.6,,63.0,,9.3,d,9.1,d,4.3,,4.9,,"1,224",,"1,702",
179,Guinea-Bissau,0.862,,5,,0.451,,0.523,,61.9,,57.7,,10.4,v,11.6,v,2.5,,5.1,,"1,487",,"2,282",
180,Congo (Democratic Republic of the),0.891,,5,,0.454,,0.510,,62.1,,57.5,,9.6,d,9.7,d,5.8,s,8.8,s,917,,"1,246",
181,Guinea,0.818,,5,,0.422,,0.515,,60.2,,57.6,,9.1,d,11.2,d,1.4,d,3.4,d,"1,719",,"3,104",
182,Afghanistan,0.622,,5,,0.332,,0.534,,66.2,,59.8,,8.1,d,13.2,d,1.2,,3.9,,396,,"2,256",
183,Mozambique,0.929,,3,,0.443,,0.477,,62.7,,56.5,,10.3,d,11.1,d,3.2,,4.4,,"1,060",,"1,385",
184,Sierra Leone,0.885,,5,,0.432,,0.488,,61.7,,59.1,,9.4,r,9.0,r,2.4,d,4.8,d,"1,326",,"1,898",
185,Burkina Faso,0.881,,5,,0.409,,0.464,,61.5,,58.0,,8.2,,8.0,,1.6,d,3.1,d,"1,454",,"2,624",
186,Yemen,0.456,,5,,0.219,,0.480,,67.2,,60.5,,6.9,o,8.9,o,1.8,z,3.6,z,150,,"2,042",
187,Burundi,0.926,,3,,0.404,,0.436,,63.9,,60.1,,10.2,d,9.7,d,2.6,d,4.1,d,636,,789,
188,Mali,0.830,,5,,0.368,,0.444,,60.8,,58.1,,6.4,d,7.5,d,1.1,,2.2,,"1,333",,"2,741",
189,Chad,0.776,,5,,0.342,,0.441,,54.8,,51.3,,6.8,d,9.5,d,1.3,d,3.5,d,991,,"1,783",
189,Niger,0.826,,5,,0.354,,0.428,,63.4,,60.8,,6.5,d,7.9,d,1.0,s,1.8,s,893,,"1,663",
191,Central African Republic,..,,..,,..,,..,,56.8,,52.3,,6.1,d,8.4,d,2.7,s,5.4,s,..,,..,
192,South Sudan,..,,..,,..,,..,,57.0,,54.0,,4.5,d,6.7,d,4.8,aa,6.2,aa,..,,..,
